"record_num","id","latitude","longitude","label","updated_at","occupancy_status","direction_id","current_stop_sequence"
7628,"y1863",42.35063127,-71.08936679,"1863","2023-06-14T19:57:35-04:00","FEW_SEATS_AVAILABLE",0,14
7629,"y1817",42.36521703,-71.10355509,"1817","2023-06-14T19:57:35-04:00","MANY_SEATS_AVAILABLE",1,7
7630,"y1786",42.34075648,-71.08200642,"1786","2023-06-14T19:57:30-04:00","MANY_SEATS_AVAILABLE",1,16
7631,"y1783",42.36247779,-71.09911563,"1783","2023-06-14T19:57:32-04:00","",0,17
7632,"y1778",42.34875,-71.08849,"1778","2023-06-14T19:57:31-04:00","MANY_SEATS_AVAILABLE",1,12
7633,"y1877",42.33216756,-71.08155563,"1877","2023-06-14T19:57:45-04:00","MANY_SEATS_AVAILABLE",1,22
7634,"y1863",42.35066049,-71.0894341,"1863","2023-06-14T19:57:47-04:00","FEW_SEATS_AVAILABLE",0,14
7635,"y1817",42.36487152,-71.10292859,"1817","2023-06-14T19:57:48-04:00","MANY_SEATS_AVAILABLE",1,7
7636,"y1786",42.3407565,-71.08200536,"1786","2023-06-14T19:57:46-04:00","MANY_SEATS_AVAILABLE",1,16
7637,"y1783",42.36290514,-71.09950608,"1783","2023-06-14T19:57:47-04:00","",0,17
7638,"y1778",42.34825057,-71.08840074,"1778","2023-06-14T19:57:45-04:00","MANY_SEATS_AVAILABLE",1,12
7639,"y1877",42.33154,-71.08222,"1877","2023-06-14T19:57:56-04:00","MANY_SEATS_AVAILABLE",1,22
7640,"y1863",42.35071324,-71.08947579,"1863","2023-06-14T19:57:50-04:00","FEW_SEATS_AVAILABLE",0,14
7641,"y1817",42.36484794,-71.10287285,"1817","2023-06-14T19:57:55-04:00","MANY_SEATS_AVAILABLE",1,7
7642,"y1786",42.34062188,-71.08181535,"1786","2023-06-14T19:57:52-04:00","MANY_SEATS_AVAILABLE",1,16
7643,"y1783",42.36289508,-71.09951082,"1783","2023-06-14T19:57:49-04:00","",0,17
7644,"y1778",42.34808943,-71.08825059,"1778","2023-06-14T19:57:56-04:00","MANY_SEATS_AVAILABLE",1,12
7645,"y1877",42.3310823,-71.0827134,"1877","2023-06-14T19:58:02-04:00","MANY_SEATS_AVAILABLE",1,23
7646,"y1863",42.35089861,-71.08946429,"1863","2023-06-14T19:58:04-04:00","FEW_SEATS_AVAILABLE",0,14
7647,"y1817",42.36483943,-71.10285823,"1817","2023-06-14T19:58:01-04:00","MANY_SEATS_AVAILABLE",1,7
7648,"y1786",42.3396699,-71.08074244,"1786","2023-06-14T19:58:04-04:00","MANY_SEATS_AVAILABLE",1,16
7649,"y1783",42.36285591,-71.09953361,"1783","2023-06-14T19:57:59-04:00","",0,17
7650,"y1778",42.34808943,-71.08825059,"1778","2023-06-14T19:57:56-04:00","MANY_SEATS_AVAILABLE",1,12
7651,"y1877",42.33056734,-71.08337183,"1877","2023-06-14T19:58:13-04:00","MANY_SEATS_AVAILABLE",1,23
7652,"y1863",42.35089861,-71.08946429,"1863","2023-06-14T19:58:04-04:00","FEW_SEATS_AVAILABLE",0,14
7653,"y1817",42.36483943,-71.10285823,"1817","2023-06-14T19:58:01-04:00","MANY_SEATS_AVAILABLE",1,7
7654,"y1786",42.33900056,-71.08012541,"1786","2023-06-14T19:58:14-04:00","MANY_SEATS_AVAILABLE",1,16
7655,"y1783",42.36285591,-71.09953361,"1783","2023-06-14T19:57:59-04:00","",0,17
7656,"y1778",42.34769247,-71.08797844,"1778","2023-06-14T19:58:11-04:00","MANY_SEATS_AVAILABLE",1,12
7657,"y1877",42.33046296,-71.08349407,"1877","2023-06-14T19:58:25-04:00","MANY_SEATS_AVAILABLE",1,24
7658,"y1863",42.35092936,-71.08945943,"1863","2023-06-14T19:58:25-04:00","FEW_SEATS_AVAILABLE",0,14
7659,"y1817",42.36488636,-71.10285303,"1817","2023-06-14T19:58:24-04:00","MANY_SEATS_AVAILABLE",1,7
